GeneSymbol	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
Tjap1	0.312420313983407	0.120631854348312	0.733820131376763	0.0465233509220635	NA
Tjp1	-0.00883269310306289	-0.259037279485666	0.0558057683663868	0.109022461973639	-0.202528458985078
Tjp2	1.00261619856478	-0.0099935237474984	0.789850541278215	-0.0735360191170376	0.593391939007661
Tjp3	-0.0118235115693759	0.0486629663663161	0.327365119468699	-0.840605111955328	1.28584701325822
Tk1	NA	NA	NA	NA	NA
Tk2	-0.0690979296076435	0.0295778934257012	0.0295778934257012	0.218170899887176	-1.10739734630082
Tkt	0.0385429933398216	-0.132411313390244	0.295684163854572	-0.585909153004206	-0.485943110819597
Tktl1	NA	NA	NA	NA	0.45756846360669
Tlcd1	-1.25679061235755	-0.104470237340275	-0.801608228321868	0.385099815071907	-0.717995738120843
Tlcd2	0.937439013199501	0.106624950637692	0.0902349517358267	0.523790420098448	0.229388451230919
Tle1	-0.168976402067035	-0.586998951277658	0.635346967723112	-0.377610292456341	-0.103743953507109
Tle2	0.1708552493144	NA	0.465947598079878	NA	NA
Tle3	1.35046168899915	0.499208792079706	0.560301743409159	0.105754438383599	1.12680643721395
Tle4	-0.418553040901582	0.241399678824372	-0.00582275404610622	0.127464531300973	-0.0564447021412322
Tle6	NA	NA	NA	NA	NA
Tlk2	0.32898182599193	-0.33046855714852	0.0784070019057479	0.160568277256607	0.388906896387389
Tll1	NA	NA	NA	NA	NA
Tll2	NA	NA	NA	NA	NA
Tlm	NA	NA	NA	NA	NA
Tln1	0.367078601910467	0.217575202197231	0.49100929136841	0.330017286998256	-0.365754525217591
Tlr1	NA	NA	NA	NA	NA
Tlr2	-0.430296996461189	0.134732467651616	-0.533966829641479	0.61878780585799	NA
Tlr3	0.543373773246256	0.0769913967452682	-0.324908459591799	0.366676556748399	0.928643437655982
Tlr4	NA	NA	NA	NA	NA
Tlr5	-0.501460485493984	-0.0248869327188155	NA	0.0901038981699678	0.444324729542407
Tlr6	NA	NA	NA	NA	NA
Tlr7	NA	NA	NA	NA	NA
Tlr8	NA	NA	NA	NA	NA
Tlr9	NA	NA	NA	NA	NA
Tlx1	NA	NA	NA	NA	NA
Tlx2	NA	NA	NA	NA	NA
Tlx3	0.525257742811021	NA	NA	NA	NA
Tm2d1	-0.475602410604657	-0.114198526101066	-0.614274410757875	0	-0.185049653099967
Tm2d2	-0.849653098561015	0.132527697631915	-0.231820544438188	0.00328919035407349	-0.424319818065992
Tm2d3	-0.478211835271444	0.352109892338515	0.622635243439069	-0.153056336813261	0.103430707853095
Tm4sf1	NA	NA	NA	NA	NA
Tm4sf20	NA	NA	NA	NA	NA
Tm4sf4	NA	NA	NA	NA	NA
Tm4sf5	NA	NA	NA	NA	NA
Tm6sf1	NA	NA	NA	NA	NA
Tm6sf2	NA	NA	NA	NA	NA
Tm7sf2	-0.238257148195255	0.218879386681811	0.140024761229707	-0.725636614751852	-0.39045822488626
Tm7sf3	-0.236450037225685	0.0135678277828353	-0.0773510438592551	0.263436380616343	-0.031716964661415
Tm9sf1	0.0306959565354408	-0.101128042689705	-0.887761570714877	0.19766385513617	-1.17702060719109
Tm9sf2	-0.02895415168177	-0.3151558624908	0.0322567553764603	0.479150408958912	-0.789385216674956
Tm9sf3	0.619924476052886	-0.226338927706195	-0.00165749004176075	0.110132995712854	-0.216568995651026
Tm9sf4	0.327372450143311	0.0350301681305178	0.173398008370064	-0.0866746780240764	0.340061549620589
Tmbim1	-0.344965207248155	0.311103779654951	-0.29140912820659	0.541981899476346	-0.209664739052382
Tmbim4	0.140842304962915	0.176481893852497	-0.257884947499704	0.316138481797593	-0.499888921499663
Tmbim6	0.299925403963005	0.115199096633626	-0.0577304054445555	0.0544160781053105	-0.11625056909558
Tmc1	NA	NA	NA	NA	NA
Tmc2	NA	NA	NA	NA	NA
Tmc4	0	0.00154177102483732	0.0702680047896456	0.198377413813237	NA
Tmc6	-0.0597443143676788	0.115107085327812	0.367480943572833	0.583587417831422	-0.245707221029575
Tmcc2	-2.13985713043026	0.519127817741829	-1.7653098300588	-0.266885322471151	NA
Tmcc3	NA	NA	NA	NA	NA
Tmco1	-0.463619364672242	-0.194605457902224	-0.54624550930064	0.18052606231004	0
Tmco3	0.0833950770116738	0.375978966347257	-0.0178826079589331	0.232200544927331	-0.838485499746793
