gene	log2FoldChange
Mob3c	-0.911633328
Gm11223	1.124391705
Cyp4b1	-0.685162184
Adamts3	1.545080672
Arhgef10l	-0.71251658
Col8a2	-0.631082756
Rab27a	1.608582974
Gabbr1	-0.683115596
Ctbp2	-0.694699789
Slc16a9	1.712864476
Cux1	1.120477162
Hk2	-0.838545189
Ppap2a	-0.722054274
Zswim6	-0.734414985
Sun2	-0.64755167
Efna5	-0.680542794
Gm1821	-1.846543016
Tnf	1.571253408
Cit	1.394871427
Kctd11	-0.675931082
Tmprss11g	2.15955489
Gem	-0.721721423
Serping1	1.18423691
Hmmr	1.696754419
Atp2a2	-0.635987553
Mier3	-0.660917807
Pet100	1.336373868
Slc35e4	-0.818702376
Ahcyl2	-0.589694592
Tubb2b	0.919901197
Extl1	1.656027797
Ahdc1	-0.655663312
Crip1	0.705578146
Csrnp1	-0.657468894
Jup	-0.600140555
4930422G04Rik	1.404519106
Cdc42ep1	-0.721375808
Aldh1a3	2.082220572
Exoc3l4	2.070116423
Lsm4	0.838823051
Shf	-0.743069032
Tgfb2	1.053857951
Trh	1.853334847
Vasn	-0.786638998
Tapbpl	0.946171083
Cd83	1.34815199
Fam46a	0.809648087
Slc39a2	1.084007849
Zfp568	-0.991732761
Pcyt1a	-0.631805941
Dbf4	0.961246343
Hmgn1	0.66233382
Psrc1	1.194861336
Myo1b	0.820892241
Bcorl1	-0.784556526
Elk3	1.305404066
Serpinb8	-0.804794336
Thnsl2	1.474230265
Eno1	0.776313026
Ncoa4	-0.617750599
Etnk2	2.102496572
Actg1	-0.623927552
Hspb8	-0.677989922
Ccdc109b	1.210017093
Atox1	0.7948492
Angptl7	-1.112999743
Ckb	0.779558652
Cdca5	1.614166746
Cnnm4	-0.603041136
Stard3nl	1.144852544
C5ar1	2.082796532
Med26	-0.648013969
Slc7a6	-0.598815331
Scml2	-0.731229808
Kank1	-0.708634924
Rapgef2	-0.897344393
Tmem41b	-0.606236908
Src	-0.835118483
Tiam2	-0.583320438
Zbtb7b	-0.654787526
Mark4	-0.567300282
Synpo	0.999303984
Csf1	0.963980374
Crlf1	-0.638675837
Ndc80	1.976988464
Col4a6	0.690312113
Ctdp1	-0.659824412
Fen1	1.157550161
Gm16685	2.05280815
Sdc4	-0.694453058
Midn	-0.630350778
Mrc1	1.727535072
Adcy1	-0.95244037
Tspan9	-0.485694404
Zmiz1	-0.54632283
Arhgap8	1.158275834
Dgka	-0.561516663
Dmpk	-0.771635183
Ivl	-1.445828231
Oas1a	2.052198513
Pnp	-0.71291565
Rab30	1.271554339
Zfp617	0.934492996
Zc3hav1	0.512309811
Dusp14	-0.704197511
S100a3	-0.994072416
Troap	1.994211435
Cenpl	1.206435738
Dsg1a	0.947585199
Gm15417	-1.779126337
Smarca1	1.404408814
Fignl2	-1.094773706
S100a16	-0.618511707
Zfp593	-0.731413676
Lipg	-0.956219065
Sipa1l3	-0.551965958
Nrip3	0.724012096
Bag5	-0.710365098
Pbx3	-0.685263222
Scarna10	2.024605662
St6galnac5	-1.061228563
Abcc6	1.848947326
Phyh	0.705776157
Adam10	0.552744771
Chd3	0.623867721
Fgd6	-0.786281285
Dst	-0.562041764
BC050972	-1.761485902
Dcun1d4	-0.727690168
Etv4	1.089624267
Tnip3	1.897722974
Ethe1	-0.678389589
Fam84a	0.675822155
Itga3	-0.5521556
Neil3	1.830343771
Mis18a	1.303714106
Rnf223	-1.34330233
Klf5	0.566650072
Srf	-0.637245782
Cnksr1	-0.715994038
Dlgap4	-0.635045826
Kif5c	-1.712578172
Mcl1	-0.591958092
1700016P03Rik	1.906008339
Galnt15	-1.171428196
Lphn2	0.538405432
Pik3c2g	1.411515714
Ptpru	-0.735218535
Zdhhc5	-0.587766827
Mepce	-0.558180129
Hells	1.110880145
Gata3	0.57014947
Tmem125	0.969759749
Pmp22	-0.663299369
Parp14	0.820572637
Ccl2	1.005090956
Scarna2	1.870308415
Tubb5	0.558677589
Stim1	-0.514641777
Gm17644	1.389964699
Haus4	1.440618203
Dpt	1.384962456
Lamb3	-0.4847604
Tmbim6	-0.484550153
Nfkbie	0.838544111
Pdzk1ip1	0.696344457
RP23-45G16.5	1.888140297
Cmtm8	-0.962489049
Tmc7	-0.745264294
Lfng	-0.638622828
Asap2	-0.691023105
Ccdc88c	-0.701960069
Calml3	-0.590981849
Smc4	0.570863921
Nrg1	0.977143015
Adarb2	-0.986642681
Anxa4	0.522896511
Erap1	0.638762497
Kif21b	-0.839546017
Nxf7	1.947088547
Rgs10	1.232316996
Armc10	0.720973826
Bcl2l15	1.449143866
Ldha	0.462628776
Zdhhc21	0.772330882
Auts2	-0.563189472
Nox4	1.933782124
Zwilch	1.259098459
Bbip1	1.342915083
Fam83g	-0.657981264
Flt1	1.292057626
Cpa4	-1.558579474
H2-T10	0.986897023
Itga4	-1.305283234
Pdlim4	1.240986378
Wnt6	1.481004698
Irf1	0.574216644
Tacc2	-0.51211392
Usp54	-0.633356853
Fzd5	-0.646436869
Ptrf	-0.611485975
Net1	-0.52016151
Snord15a	1.86619099
Msl3l2	-1.866862915
Alox8	-1.301678742
Card10	-0.701325363
Enoph1	0.664362916
Epgn	1.356707762
Irs2	-0.547412554
Itga8	1.474166889
Pld4	1.915400855
Syne1	1.035404225
Rnf141	0.619914295
