GeneSymbol	aHFSC1	aHFSC2	qHFSC	TAC1	TAC2
1700020M10Rik	NA	NA	NA	NA	NA
1700020N01Rik	NA	NA	NA	NA	NA
1700020N15Rik	NA	NA	NA	NA	NA
1700020O03Rik	-0.272254344175291	0.000907287634879239	-0.16712596900836	-0.96715817582678	-0.797579050826684
1700021A07Rik	NA	NA	NA	NA	NA
1700021C14Rik	-0.00683361505489799	-0.221760996227988	0.156708022468482	0.105444587275276	-0.104501970214868
1700021F05Rik	0.17563618452742	0.317698946846702	0.116617137578643	0.553470948862252	0.906375905291275
1700021F07Rik	NA	NA	NA	NA	NA
1700021K19Rik	-0.661450791319169	-0.280448823123715	0.114220061271867	-1.000622768464	-1.09476705861336
1700021N20Rik	NA	NA	NA	NA	NA
1700021O21Rik	NA	NA	NA	NA	NA
1700021P04Rik	NA	NA	NA	NA	NA
1700022A21Rik	NA	NA	NA	NA	NA
1700022A22Rik	NA	NA	NA	NA	NA
1700022F17Rik	NA	NA	NA	NA	NA
1700023A16Rik	NA	NA	NA	NA	NA
1700023A20Rik	NA	0.148740256189205	NA	NA	NA
1700023B13Rik	NA	NA	NA	NA	NA
1700023D09Rik	NA	NA	NA	NA	NA
1700023E05Rik	-0.000643726331579053	-0.209508850149241	-0.312407919931732	-0.104260660998388	NA
1700023F02Rik	NA	NA	NA	NA	NA
1700023F06Rik	NA	NA	NA	NA	NA
1700023G09Rik	NA	NA	NA	NA	NA
1700023H06Rik	-0.259107211110676	0.0314008209523493	-0.352494689341444	NA	-1.178232841814
1700023L04Rik	NA	NA	NA	NA	NA
1700024B05Rik	NA	NA	NA	NA	NA
1700024h08rik	NA	NA	NA	NA	NA
1700024J04Rik	NA	NA	NA	NA	NA
1700024N20Rik	NA	NA	NA	NA	NA
1700024P04Rik	NA	NA	NA	NA	NA
1700024P12Rik	NA	NA	NA	NA	NA
1700025E21Rik	NA	NA	NA	NA	NA
1700025F22Rik	NA	NA	NA	NA	NA
1700025G04Rik	0.203797030949405	0.257835479909792	-0.473683446354506	1.26642216441521	1.64437011120697
1700025H01Rik	NA	NA	NA	NA	NA
1700025K04Rik	NA	NA	NA	NA	NA
1700025K23Rik	0.334530578917467	0.26019350347435	0.174339847843329	NA	NA
1700026D08Rik	NA	NA	NA	NA	NA
1700026H06Rik	NA	NA	NA	NA	NA
1700026J04Rik	NA	NA	NA	NA	NA
1700026J12Rik	NA	NA	NA	NA	NA
1700026L06Rik	NA	NA	NA	NA	NA
1700027A23Rik	NA	NA	NA	NA	NA
1700027D21Rik	NA	NA	NA	NA	NA
1700027F06Rik	NA	NA	NA	NA	NA
1700027J07Rik	NA	NA	NA	NA	NA
1700028E10Rik	NA	NA	NA	NA	NA
1700028I16Rik	NA	NA	NA	NA	NA
1700028J19Rik	NA	NA	NA	NA	NA
1700028N14Rik	NA	NA	NA	NA	NA
1700028P14Rik	NA	NA	NA	NA	NA
1700029F09Rik	0.182659484841722	-0.246466813172434	-0.192814012862526	1.69190089340755	1.87247663841802
1700029F12Rik	NA	NA	NA	NA	NA
1700029G01Rik	-1.49964430738287	-1.26033113687363	0.330664954341767	-1.55723175178437	-2.15260122195386
1700029H14Rik	NA	NA	NA	NA	NA
1700029I01Rik	0.147042510619745	0.107357215054044	0.164940003610061	0.475130749536577	0.462798681715029
1700029I15Rik	NA	NA	NA	NA	NA
1700029J07Rik	-0.670702493815577	-0.713441290839861	0.0544919703496252	NA	-1.30092794826322
1700029J11Rik	NA	NA	NA	NA	NA
1700029M03Rik	NA	NA	NA	NA	NA
1700029M20Rik	NA	NA	NA	NA	NA
1700029P11Rik	NA	NA	NA	NA	NA
1700030C10Rik	NA	NA	NA	NA	NA
1700030F18Rik	NA	NA	NA	NA	NA
1700030J22Rik	NA	NA	NA	NA	NA
1700030K09Rik	-0.282993995041604	-0.189313357574047	0.270465447348629	-0.254348687279914	-0.0659353110326251
1700031C06Rik	NA	NA	NA	NA	NA
1700031F05Rik	NA	NA	NA	NA	NA
1700031F10Rik	NA	NA	NA	NA	NA
1700031L13Rik	NA	NA	NA	NA	NA
1700034E13Rik	NA	NA	NA	NA	NA
1700034F02Rik	NA	NA	NA	NA	NA
1700034G24Rik	NA	NA	NA	NA	NA
1700034H14Rik	-0.145950050133181	-0.418523518385055	-0.234625454865453	0.112516163241852	0.426142151406732
1700034H15Rik	0.528558497601649	NA	NA	NA	0.669105014466029
1700034I23Rik	NA	NA	NA	NA	NA
1700034J04Rik	NA	NA	NA	NA	NA
1700034J05Rik	NA	NA	NA	NA	NA
1700034O15Rik	NA	NA	NA	NA	NA
1700034P13Rik	NA	NA	NA	NA	NA
1700036A12Rik	NA	NA	NA	NA	NA
1700037C18Rik	NA	NA	NA	NA	NA
1700037H04Rik	-0.311003609765055	-0.12339677138461	-0.150748357831779	-0.0110747336183366	-0.0263697692600324
