Probe_ID	GeneSymbol	aHFSC1	aHFSC2	qHFSC	TAC1	TAC2
1416767_a_at	1110003E01Rik	-0.656180011217046	-0.581739581450817	0.0522849258671396	-0.794923649386909	-1.14297643019259
1416768_at	1110003E01Rik	-0.837559146572003	-0.552159292676714	-0.00676187119655403	-1.11115072531503	-1.36985249874252
1435464_at	1110003E01Rik	-0.994686533299055	-0.926576301269892	0.37524421972488	-2.60252292254082	-2.49447015845856
1447218_at	1110003F02Rik	NA	NA	NA	NA	NA
1424315_at	1110004E09Rik	0.120230942618603	0.0870434872544603	-0.140393725359859	0.374228016279234	0.460710552609457
1435301_at	1110004E09Rik	NA	NA	NA	NA	NA
1437682_x_at	1110004E09Rik	0	0.0957504634230766	-0.0756415108318471	0.475361122809596	0.668664280485276
1455276_x_at	1110004E09Rik	NA	NA	NA	NA	NA
1423335_at	1110004F10Rik	0.216085027127008	0.38411990849813	-0.157044057948706	0.436361357466215	0.729387846764372
1432584_at	1110004M10Rik	NA	NA	NA	NA	NA
1454286_at	1110004M10Rik	NA	NA	NA	NA	NA
1430331_at	1110005A03Rik	NA	NA	NA	NA	NA
1441602_at	1110005A03Rik	NA	NA	NA	NA	NA
1451448_a_at	1110005A03Rik	-0.687143091694979	-0.524651860739411	0.223311128163978	-0.708377509508873	-1.01565569808626
1453485_s_at	1110005A03Rik	-0.646906141800623	-0.433634766924535	0.0458268619146693	-0.53121934748708	-0.729074448586635
1431094_at	1110006E14Rik	NA	NA	NA	NA	NA
1432562_at	1110006G14Rik	NA	NA	NA	NA	NA
1420750_at	1110006O24Rik	NA	NA	NA	NA	NA
1431359_a_at	1110007C09Rik	-0.621465143446573	-0.375058850258465	0.00950600272994606	-1.01310755734151	-1.5294348443177
1454258_at	1110008E08Rik	NA	NA	NA	NA	NA
1416699_at	1110008F13Rik	0.0405931569476863	0.519284630108285	0.0311213537828419	0.364755698270123	0.434308512523291
1459810_at	1110008F13Rik	NA	NA	NA	NA	NA
1419333_at	1110008J03Rik	NA	0.300080451402116	-0.0259905922148302	-0.0768753748136763	0.0136006923394634
1457119_at	1110008J03Rik	NA	NA	NA	NA	NA
1428775_at	1110008L16Rik	NA	-0.43562134803965	NA	0.064450420376656	0.438403117793829
1423947_at	1110008P14Rik	0.720570417249366	1.07360764919295	0.200285013628408	1.31552553603114	0.827842951158598
1447982_at	1110008P14Rik	0.11921787618583	0.141241259463388	NA	0.0456462715333581	-0.117419671645607
1459890_s_at	1110008P14Rik	0.430318251345112	0.593918571207512	-0.0297414003429601	1.04009561748622	0.349764230666526
1429053_at	1110012J17Rik	NA	NA	NA	NA	NA
1442363_at	1110012J17Rik	NA	NA	NA	NA	NA
1451302_at	1110012L19Rik	-0.127564442260853	-0.145864043416035	0.072547513239785	-0.74335631147839	-0.996648688087795
