gene	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
1810063B05Rik	0.0380316412168158	0.242169629833882	-0.0716341008078079	0.116532527870428	-0.263234042931883
1810063B07Rik	0.366303251687985	0.305954140598395	0.123502205604498	0.267390058781694	-0.628606651743143
1810065E05Rik	-0.153240782077402	0	0.0171196790513166	0.0484146898827129	0.174020099206681
2-Mar	-0.384604181541413	-0.0577912656924333	-0.129616665443381	-0.125070964042893	-0.35557492196868
2-Sep	0.208278205198871	-0.0462879375384202	-0.0778341288268245	0.158451182777802	0.114191840354453
2010001E11Rik	0.355442902526444	0.356283845547448	0.336322900982991	0.179016983895916	0.272983010766217
2010001M06Rik	-0.328178232038423	0.00119390969050404	0.0867876545767734	0.0427551347000481	0.313756357496802
2010002N04Rik	1.04297596525616	0.0444121249110552	0.343556712720145	0.238560211572873	0.124727882034072
2010003K11Rik	0	-0.0519862436890808	-0.0895287669360254	0.0611237858825033	0.490350600119589
2010003O02Rik	-1.20460832020195	0.244765579848261	-0.793695556213963	-0.139127442499197	-0.619954184617307
2010005H15Rik	-0.0611237858825033	-0.026931172765126	0	0	0
2010010I01Rik	0.0418084714972142	0.0660119964138932	0	0	0.627388125436488
2010011I20Rik	-0.0438955702703865	0.182312141092778	0	-0.0648335280126826	0.121471976185203
2010012O05Rik	0.285953068405883	0.0381621834488559	-0.00748364895466835	-0.388944279248212	0.110701356809246
2010106E10Rik	-0.162989856576007	-0.0550858574782289	-0.204220865202474	-0.133088230812157	-0.17910766335546
2010106G01Rik	0.438158931118997	-0.23195585864263	0.129796610345155	0.0508439751248035	0.28550453584154
2010107E04Rik	0.0738875653642932	-0.0405673449258117	0.116081269559224	0.123820550995791	0.21889300190969
2010107G23Rik	-0.445518766479902	0.278567945430304	-0.19256531828543	-0.0840463811032599	0.263278271230263
2010109I03Rik	-0.145095619966845	0.0643443162695494	-0.00624680063111427	0.0214623606701334	0.284005991769804
2010109K11Rik	-0.970452844763795	-0.214832066950223	-0.944304068971986	0.462513355559247	-1.91943058911858
2010111I01Rik	-0.582056110570171	0.0915648716117321	-0.0305319523699854	0.422617263476187	-0.219175737681833
2010204K13Rik	0.408079461729947	0.361458188220063	1.03061011272168	0.486208563874055	0.567452312478405
2010305A19Rik	0.434386017023947	0.0791279982191622	0.397500660521777	-0.0228579275885226	0.199266653593681
2010321M09Rik	-0.520179508417415	0.00774411283616239	0.00814143799569322	0.0102419546350507	-0.521832647542668
2210010C04Rik	-0.189631334640255	0	0.0478569295248805	0.0646931106347957	0.173956126687168
2210012G02Rik	-0.0138258921319139	0.110318079351641	-0.748699260064107	0.0222137371590625	-0.396756083872648
2210016F16Rik	-0.230424926185901	-0.0532476158738722	-1.19119776302853	-0.670237208755711	-0.702375820540584
2210016L21Rik	-0.211971203349941	0.142982927066327	-0.0324256380672603	0.0660997896097175	-0.560232525451012
2210018M11Rik	0.710746808200389	0.313357228719545	0.906767854667905	0.163221788850796	-0.139520510739962
2210021J22Rik	-0.375085160517648	0.368738931023746	-0.196714302665454	0.0811600213796213	-0.12408450436089
2210407C18Rik	-0.503142305371435	-0.212410405195369	-0.266300621091819	0.0871444272477735	-0.212410405195369
2210409E12Rik	-0.118304552171408	-0.177907912301432	-0.0362698866668798	0.0510290547476719	0.0264170546968816
2210415F13Rik	-0.26828739927836	-0.12671057739999	0.419576075836072	-0.0269434560189694	0.0348892195844925
2210418O10Rik	-0.838076341271885	-0.239368511337617	-0.811804630148251	-0.246073873931381	-0.37431232686183
2310001A20Rik	0.0586548054946716	-0.0354850426240083	0.391730386296666	0.0400092975162547	-0.271618445011666
2310002J15Rik	-0.640672398283929	0.098130876086636	-0.37753100675058	-0.514412717033842	-0.235014958289169
2310003F16Rik	-0.240416164614355	-0.435366611007264	-0.62057690172936	-0.0781733142387013	-0.62403015612907
2310003L22Rik	0.379309808258724	0.251777815564669	0.374016580344118	-0.0666734830519307	-0.459924778493651
2310004I24Rik	-0.53884918594334	-0.0238785648509072	0.0220847168317739	0.396601288412439	-0.177445311954033
