GeneSymbol	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
Itm2b	0.213168944645601	-0.0886372031815545	0.286959130105229	0.11917606512268	0.224559405830811
Itm2c	0.0962432563848008	-0.0689698913607835	0.375849861835583	0.285927339682207	-0.694558771315702
Itpa	0.192687025829118	-0.082924179331954	0.0695051132913349	-0.170507707897561	-1.03528643788197
Itpk1	-0.427452198231677	-0.0712112586010818	-0.133720324874567	0.326015114163742	-0.592680520389193
Itpka	0.863262233683618	0.0148819327431085	0.328195814589028	0.176322060771875	0.265404957620033
Itpkb	-0.246068610256874	0.205885433802827	-0.266455804315077	0.171742042205851	-0.142240693394262
Itpr1	NA	NA	0.251317668100619	NA	NA
Itpr2	1.27165177638611	0.358377652146691	1.05505381123853	0.761487899229721	1.19955931445316
Itpr3	-0.966307307554532	0.18032216130659	-0.203780460036032	-0.178370686233869	-0.60381539143258
Itsn1	-0.437141085792106	0.0744486566498903	-0.1113072287656	-0.0652770378782961	-0.599666302976452
Itsn2	0.703072646887763	-0.14255059526115	0.209037231508312	-0.132656364914745	0.820772203739538
Ivd	0.213684019096065	0.31808488204069	-0.105545786343999	-0.347514166189537	-0.490200155570575
Ivl	NA	NA	NA	NA	NA
Ivns1abp	0.701123401112319	-0.222755025469719	1.04436685624062	-0.192359822920408	1.24477807985802
Iyd	NA	NA	NA	NA	NA
Jag1	0.160366482007004	-0.401539509506899	-0.0107161002812362	0.310675860027776	-0.409757964508991
Jag2	1.10337383810383	0.123150084436323	1.06291517629673	-0.0342091423125508	0.574623109899629
Jagn1	0.0541055903365013	-0.0418636879639411	-0.195812674774453	-0.118909948549202	-1.08811529800532
Jak1	0.581632378472536	0.135691907896735	0.2742342320294	0.087632826248063	0.000991527099698075
Jak2	-0.441984498171284	0.0879379188309395	-0.259168156641129	0.302308142805808	-0.0731344438923665
Jak3	NA	NA	NA	NA	1.14376357921432
Jam2	NA	0.285275680931807	0.490624145030148	NA	0.877587469549137
Jam3	NA	NA	NA	NA	NA
Jarid2	0.768007878533181	0.100612647764151	0.673227064553812	-0.349031353173435	0.640703828690572
Jdp2	-0.655041186486194	0.0483018995876989	-0.247657633902894	0.141179330441295	-0.365632122966799
Jhdm1d	NA	NA	NA	NA	0.510740251979318
Jkamp	-0.602077102659354	0.0255724885272581	-0.77754269616326	0.121842180468271	-1.47959883279723
Jmjd1c	1.13774654666436	-0.235670571226878	0.679564661066225	0.496381752561872	1.28089644773391
Jmjd5	-0.149958695685919	-0.302421040884153	-0.588731631530067	0.0374188688864736	-0.96018894605507
Jmjd6	0.072561343692537	0.0801880323194615	0.416844072817353	-0.299061869142166	-0.0493511324450684
Jmjd7	0.109993800668546	0.0006567211932893	-0.318645685302883	-0.168421947396325	-0.168717240138321
Jmjd8	-0.0786238195126465	0.0370806886484303	-0.175609553721236	0.0296472493298001	-1.03442173816326
Jmy	-0.367429429384056	0.201789656752402	-0.445484631669363	0.143344908432109	-0.295899323211509
Josd1	0.366741193838171	0.198052269037237	0.527130022637033	0.123508606632884	0.0261354486096295
Josd2	-0.776517114032792	-0.0362704752360585	0.0387823161782466	-0.597714675526337	-1.69056358721856
Jph1	NA	NA	0.102903063162213	NA	NA
Jph2	NA	NA	NA	NA	NA
Jph3	NA	NA	NA	NA	NA
Jrk	0	-0.237718700707771	0.113325319617167	0	0.667712730646925
Jtb	0.652414149085084	-0.106706688939173	0.232995667458949	-0.116241020080805	-0.0628172414839163
Jub	0.621291905630084	0.215370760555361	0.47823239076067	0.111556895055733	-0.0518334238370421
Jun	-0.0379577902517143	-0.0872961011954736	0.190019384952702	0.112097213901793	0.0483379923729261
Junb	1.13620384486229	-1.22714515245315	1.8735144383089	0.0946420121201061	0.727234946823351
Jund	-0.811337870065557	-0.156611961205625	-0.668235351664272	-0.107942466559392	-0.629203185861382
Jup	0.155165600025899	0.0683543539753639	-0.766615629376334	-0.270337978215007	0.400955149956648
Kalrn	NA	NA	NA	NA	NA
Kank2	NA	0.252545455821662	NA	0.455854762622304	NA
Kank3	NA	-0.0995876168574954	-0.11538614017906	NA	NA
Kansl1	-0.391494364545087	0.00357554101798208	-0.0394885765292994	0.596119968423044	-0.572370035804015
Kansl1l	-1.43375847914307	-0.0243608773097517	-0.972922509786361	0.314624268701717	-0.147375637261202
Kansl2	0.507471106864243	0.0633816346609528	-0.0871549239296776	-0.062018619653502	0.0984848466515746
Kap	-0.140029450785915	-0.0187553546752079	-0.129056441720819	0.0559348417808527	0.161219259294462
Kars	0.68808779508336	-0.0464158069144869	0.42350974981343	-0.027359072506334	-1.23564689393982
Kat2a	0.678356873896264	0.253848171263477	0.545480582566716	-0.298718396637698	-0.550871722994554
Kat2b	-0.431828216947805	0.0483957478906074	-0.804071543792054	0.367204885133246	0.238512663516413
Katna1	0.314700381166785	-0.328627879305671	0.38480152056932	-0.346558941053427	-0.328627879305671
Katnb1	NA	0.091560081018363	0.884749661115735	NA	0.305226473079256
Kazald1	0.427796835588846	0.144214743336324	0.49277645297901	-0.299970280823325	0.458675947618841
Kazn	NA	NA	NA	NA	NA
Kbtbd2	0.320563133153279	0.0893966982176675	0.244702931261768	0.277306963065449	-0.350985756545422
Kbtbd4	-0.298006611092335	0.0491541137224756	NA	0.124830055536137	NA
Kcmf1	-0.0734919636536375	0.0583248618903349	-0.267614855437081	0.111386572257921	-0.0602602031636934
Kcna1	NA	NA	NA	NA	NA
Kcna2	NA	NA	NA	NA	NA
Kcna3	NA	NA	NA	NA	NA
Kcna4	NA	NA	NA	NA	NA
Kcna5	NA	NA	NA	NA	NA
Kcna6	NA	-0.0219019861487171	NA	NA	NA
Kcna7	NA	NA	NA	NA	NA
Kcnab1	NA	NA	NA	NA	NA
Kcnab2	NA	NA	NA	NA	NA
Kcnab3	NA	NA	NA	NA	NA
Kcnb1	-0.506524861057821	0.214407625942012	-0.276959851119479	0.179549117618697	-0.337297202002205
Kcnc1	NA	NA	NA	NA	NA
Kcnc3	NA	NA	NA	NA	NA
Kcnc4	NA	NA	NA	NA	NA
Kcnd1	-0.143658271508613	NA	0.177962157631697	NA	NA
Kcnd2	NA	NA	NA	NA	NA
Kcnd3	0.0536201241626468	NA	NA	0.151555690234749	NA
Kcne1	NA	NA	NA	NA	NA
Kcne1l	NA	NA	NA	NA	NA
Kcne2	NA	NA	NA	NA	NA
Kcne3	NA	NA	NA	NA	NA
Kcne4	NA	NA	NA	NA	NA
Kcnh1	NA	NA	NA	NA	NA
